#{"t_start": 1584126944.1715174, "env_id": null}
1.166667,8,346.99675
1.142857,7,347.137981
1.238095,11,347.307193
-9.738095,12,347.498526
1.238095,11,347.657218
-9.809524,9,347.78345
-0.785714,10,347.946634
-0.857143,7,348.070317
-9.809524,9,348.206165
1.214286,10,348.356541
1.238095,11,348.514021
1.214286,10,348.646773
-9.857143,7,348.750102
1.095238,5,348.830793
1.285714,13,349.062259
-0.785714,10,349.208415
-9.785714,10,349.349188
1.142857,7,349.453565
1.166667,8,351.049305
1.190476,9,351.263431
1.142857,7,351.396235
-0.714286,13,351.638439
-9.785714,10,351.853393
1.309524,14,352.162799
1.095238,5,352.282576
1.095238,5,352.43432
1.214286,10,352.663787
1.142857,7,352.819813
-9.809524,9,353.015117
1.071429,4,353.097919
1.142857,7,353.210532
-0.785714,10,353.388843
1.238095,11,353.556312
1.166667,8,353.698389
1.261905,12,353.906548
-9.785714,10,354.069456
1.190476,9,354.199271
1.142857,7,354.302796
-9.785714,10,354.449516
-9.809524,9,354.58323
1.190476,9,354.72591
-0.809524,9,354.895835
1.119048,6,355.021468
1.166667,8,355.145179
-9.690476,14,355.334662
1.119048,6,355.42734
-9.666667,15,355.626489
1.166667,8,356.897132
-0.785714,10,357.106842
1.261905,12,357.28181
1.238095,11,357.434539
-9.714286,13,357.608893
1.261905,12,357.789844
1.095238,5,357.864421
-0.833333,8,357.998656
1.166667,8,358.122052
1.142857,7,358.236177
1.214286,10,358.437241
-9.690476,14,358.704684
1.238095,11,358.902316
1.238095,11,359.052536
1.190476,9,359.180254
-0.833333,8,359.303448
1.142857,7,359.419325
1.071429,4,359.492429
1.166667,8,359.617328
1.095238,5,359.698452
-0.714286,13,359.880374
-0.809524,9,360.026241
1.261905,12,360.197338
1.190476,9,360.316791
1.142857,7,360.418696
1.071429,4,360.483836
-9.714286,13,360.660732
-9.738095,12,361.838768
1.166667,8,361.968737
1.142857,7,362.082542
-0.738095,12,362.251596
-9.833333,8,362.363656
1.071429,4,362.436794
1.095238,5,362.505011
1.166667,8,362.638035
-9.833333,8,362.753663
1.214286,10,362.925377
1.190476,9,363.099641
-9.809524,9,363.273803
-9.809524,9,363.446934
1.095238,5,363.533274
-9.809524,9,363.664846
-9.690476,14,363.863444
-0.714286,13,364.074925
-9.738095,12,364.235451
-9.738095,12,364.407826
1.142857,7,364.521623
1.142857,7,364.649159
1.095238,5,364.720129
-9.714286,13,364.892937
-9.809524,9,365.034151
1.214286,10,365.194402
1.119048,6,365.318958
1.238095,11,365.544755
1.214286,10,365.764922
1.190476,9,365.902736
1.214286,10,367.132848
-9.761905,11,367.30127
1.166667,8,367.415467
1.238095,11,367.626004
1.071429,4,367.720986
1.142857,7,367.866565
-0.785714,10,368.071672
1.214286,10,368.233391
-9.809524,9,368.354561
-0.761905,11,368.519009
1.119048,6,368.607973
1.095238,5,368.700251
1.309524,14,368.894604
1.166667,8,369.023949
1.190476,9,369.149867
1.166667,8,369.266478
-9.761905,11,369.406074
1.214286,10,369.53652
1.214286,10,369.695426
1.238095,11,369.840179
1.190476,9,369.969702
1.190476,9,370.166393
-0.833333,8,370.323414
1.166667,8,370.474818
-0.761905,11,370.621676
-9.714286,13,370.799783
1.190476,9,370.932852
-9.690476,14,372.356078
1.214286,10,372.49869
-0.690476,14,372.746564
-0.857143,7,372.903644
-0.761905,11,373.125289
-0.714286,13,373.327476
1.190476,9,373.44882
-0.833333,8,373.571451
1.214286,10,373.715864
1.261905,12,373.896395
1.238095,11,374.060822
-9.761905,11,374.213456
-0.738095,12,374.375931
1.190476,9,374.513035
1.214286,10,374.650285
-0.785714,10,374.796499
1.166667,8,374.925689
-9.666667,15,375.172338
1.190476,9,375.334164
1.119048,6,375.431355
1.119048,6,375.532844
-9.690476,14,375.717657
-0.761905,11,375.868937
1.166667,8,376.028101
1.190476,9,376.209886
1.119048,6,376.32621
1.095238,5,377.541512
-9.642857,16,377.829965
-9.738095,12,378.031104
-9.785714,10,378.223339
1.166667,8,378.347768
-9.690476,14,378.583577
1.214286,10,378.733768
1.142857,7,378.838298
-0.833333,8,378.970029
-0.761905,11,379.169543
1.142857,7,379.278308
-9.761905,11,379.464525
-0.880952,6,379.567387
-0.785714,10,379.764918
1.166667,8,379.936296
1.261905,12,380.178247
-0.880952,6,380.28833
1.285714,13,380.474688
1.238095,11,380.63975
1.166667,8,380.766571
-0.904762,5,380.867802
1.095238,5,380.964453
-0.833333,8,381.110872
1.261905,12,381.340734
1.261905,12,381.581516
1.190476,9,381.72526
-0.904762,5,381.809829
-9.833333,8,381.925871
1.142857,7,383.029607
1.238095,11,383.222843
-0.761905,11,383.439821
-9.666667,15,383.720241
1.142857,7,383.888568
-9.690476,14,384.155118
-0.857143,7,384.275629
1.238095,11,384.545719
1.071429,4,384.650563
-9.738095,12,384.845105
-0.880952,6,384.984078
-0.880952,6,385.096569
1.071429,4,385.171337
-9.738095,12,385.328126
1.071429,4,385.411384
-0.785714,10,385.574149
1.261905,12,385.756232
1.119048,6,385.848839
1.095238,5,385.919322
-0.738095,12,386.116129
1.261905,12,386.29184
1.309524,14,386.513277
1.214286,10,386.670234
-0.809524,9,386.832808
-0.738095,12,387.018863
-9.785714,10,387.162881
1.261905,12,387.344506
1.095238,5,388.642002
1.238095,11,388.85184
1.309524,14,389.112023
1.214286,10,389.278308
1.261905,12,389.486743
1.214286,10,389.671596
1.095238,5,389.785713
1.214286,10,389.929536
1.214286,10,390.106332
1.309524,14,390.315135
1.119048,6,390.427176
1.190476,9,390.593071
1.238095,11,390.745114
1.261905,12,390.925258
1.142857,7,391.032797
1.190476,9,391.162565
-0.761905,11,391.335813
1.214286,10,391.511124
-9.738095,12,391.750861
1.071429,4,391.843822
-9.714286,13,392.119645
-0.857143,7,392.246144
1.119048,6,392.342288
1.285714,13,392.610409
-9.595238,18,392.983232
-0.833333,8,393.126348
1.238095,11,394.522581
1.166667,8,394.675509
-0.809524,9,394.841871
-9.690476,14,395.085131
-0.904762,5,395.193074
1.095238,5,395.299853
1.142857,7,395.435367
1.071429,4,395.519208
1.190476,9,395.680404
1.190476,9,395.821047
1.238095,11,395.994706
-0.761905,11,396.174386
1.214286,10,396.354449
1.238095,11,396.559498
1.214286,10,396.789991
1.261905,12,396.991256
1.190476,9,397.134629
1.071429,4,397.205755
1.119048,6,397.302071
1.095238,5,397.388372
1.214286,10,397.538301
-0.833333,8,397.664071
-0.833333,8,397.790163
1.309524,14,397.9894
-0.904762,5,398.078131
1.190476,9,398.204509
-9.714286,13,398.386622
1.142857,7,398.515845
-0.714286,13,398.745367
1.238095,11,400.146943
1.190476,9,400.352968
1.166667,8,400.515643
-9.714286,13,400.780695
1.071429,4,400.864262
-9.809524,9,401.001894
-0.738095,12,401.189989
1.214286,10,401.33354
1.238095,11,401.492773
1.214286,10,401.636898
1.214286,10,401.783571
1.238095,11,401.943902
1.166667,8,402.060122
1.119048,6,402.144793
-0.738095,12,402.310761
1.142857,7,402.45166
-9.809524,9,402.635951
1.285714,13,402.830007
1.119048,6,402.944845
1.119048,6,403.044719
1.214286,10,403.192707
-0.809524,9,403.327206
1.190476,9,403.453768
1.095238,5,403.527726
1.333333,15,403.734678
-9.738095,12,403.896251
1.238095,11,404.101102
-9.738095,12,405.491496
1.071429,4,405.583903
1.214286,10,405.758202
1.261905,12,405.939308
-0.785714,10,406.090107
1.238095,11,406.248994
1.190476,9,406.366872
-9.714286,13,406.567616
1.119048,6,406.687562
1.261905,12,406.861398
-0.714286,13,407.056206
-0.714286,13,407.23544
-9.761905,11,407.384748
1.214286,10,407.542087
1.238095,11,407.748186
1.095238,5,407.868559
1.119048,6,408.048551
-0.857143,7,408.217619
-9.714286,13,408.421486
-0.857143,7,408.536705
1.214286,10,408.706747
1.285714,13,408.890444
1.119048,6,408.980576
-0.809524,9,409.121052
1.142857,7,409.222485
-9.738095,12,409.385107
-0.857143,7,410.506633
1.095238,5,410.610626
1.166667,8,410.731177
1.190476,9,410.862448
1.214286,10,411.019704
1.142857,7,411.11425
-0.904762,5,411.20323
1.095238,5,411.287414
1.166667,8,411.397264
1.214286,10,411.546991
1.166667,8,411.658006
1.142857,7,411.756348
-0.738095,12,411.921116
1.238095,11,412.092216
1.190476,9,412.244968
-0.904762,5,412.355973
1.261905,12,412.556021
-0.738095,12,412.735256
-9.690476,14,412.948749
1.214286,10,413.102699
-9.690476,14,413.306477
1.119048,6,413.400403
1.166667,8,413.52737
1.142857,7,413.624741
1.095238,5,413.712823
-0.785714,10,413.881179
1.119048,6,413.979094
1.190476,9,414.150349
1.261905,12,414.354828
-9.690476,14,415.69852
1.119048,6,415.844113
-0.785714,10,416.066473
1.214286,10,416.283787
-0.857143,7,416.416095
1.190476,9,416.603819
1.166667,8,416.78222
1.238095,11,417.005785
-0.857143,7,417.184759
1.214286,10,417.396062
1.166667,8,417.556232
-0.785714,10,417.750171
1.214286,10,417.91812
1.095238,5,418.004147
1.190476,9,418.162045
1.142857,7,418.274266
1.119048,6,418.380974
1.142857,7,418.486296
1.166667,8,418.603114
1.142857,7,418.714252
1.190476,9,418.879226
1.238095,11,419.093854
1.119048,6,419.192093
1.142857,7,419.308946
1.119048,6,419.398137
-9.642857,16,419.630953
1.166667,8,419.752671
1.238095,11,419.911339
1.238095,11,420.090103
-0.785714,10,420.245157
1.190476,9,421.525441
-9.761905,11,421.721263
1.190476,9,421.846385
-9.761905,11,421.999808
-9.761905,11,422.156492
-9.666667,15,422.412913
1.214286,10,422.624749
1.119048,6,422.757806
1.261905,12,423.04241
1.166667,8,423.213514
1.214286,10,423.420174
1.238095,11,423.582955
1.190476,9,423.715101
-0.880952,6,423.816071
1.095238,5,423.899493
-9.761905,11,424.064336
-9.880952,6,424.166709
1.190476,9,424.308121
-0.738095,12,424.503007
1.142857,7,424.62029
1.166667,8,424.797562
1.238095,11,425.009212
1.214286,10,425.17499
-9.738095,12,425.35995
1.190476,9,425.500205
1.119048,6,425.595386
-0.809524,9,425.752349
-9.714286,13,426.96787
-0.833333,8,427.126426
1.142857,7,427.259369
-9.738095,12,427.492583
1.166667,8,427.640439
-0.714286,13,427.871735
1.142857,7,427.966704
1.095238,5,428.058414
-9.738095,12,428.22796
1.071429,4,428.292576
1.142857,7,428.400935
1.190476,9,428.533201
1.119048,6,428.620357
1.142857,7,428.723158
-9.761905,11,428.867391
1.095238,5,428.944206
-0.738095,12,429.124969
1.214286,10,429.259928
1.238095,11,429.405362
-0.666667,15,429.64654
-9.785714,10,429.814425
-9.761905,11,429.976189
1.142857,7,430.10933
1.071429,4,430.167531
-0.857143,7,430.282869
-9.690476,14,430.476482
-0.785714,10,430.664225
1.261905,12,430.895632
-0.761905,11,432.364272
1.095238,5,432.460417
1.190476,9,432.630556
1.285714,13,432.871864
1.190476,9,433.035097
1.190476,9,433.201975
-9.714286,13,433.414047
-0.809524,9,433.5603
-0.833333,8,433.698236
1.166667,8,433.821111
1.214286,10,433.984993
-0.809524,9,434.1337
1.214286,10,434.326951
1.238095,11,434.660798
1.190476,9,434.853353
1.214286,10,435.098991
-0.833333,8,435.285031
1.071429,4,435.377066
1.190476,9,435.545549
1.190476,9,435.682193
1.142857,7,435.806592
1.095238,5,435.894088
1.166667,8,436.031129
1.190476,9,436.17514
1.166667,8,436.297307
1.166667,8,436.434752
1.261905,12,436.668808
-0.761905,11,436.945227
-9.642857,16,438.407169
1.214286,10,438.63314
-0.738095,12,438.878462
1.166667,8,439.036993
-9.809524,9,439.217357
1.095238,5,439.329057
-0.857143,7,439.482992
-0.833333,8,439.654721
-9.738095,12,439.833387
1.238095,11,440.027573
1.214286,10,440.187824
1.190476,9,440.344275
1.142857,7,440.452163
-0.928571,4,440.530199
1.142857,7,440.641423
1.238095,11,440.818983
1.119048,6,440.912754
1.214286,10,441.163816
-9.785714,10,441.369028
1.166667,8,441.549189
1.190476,9,441.736057
1.238095,11,441.931108
1.214286,10,442.133095
1.142857,7,442.290196
1.095238,5,442.393424
1.214286,10,442.617934
1.357143,16,442.962718
-9.666667,15,443.19457
1.166667,8,444.425417
1.214286,10,444.606625
1.190476,9,444.74252
-9.738095,12,444.930644
1.166667,8,445.044078
-0.785714,10,445.192748
1.142857,7,445.30412
-0.738095,12,445.479429
1.166667,8,445.598009
1.238095,11,445.75876
1.357143,16,446.044085
1.190476,9,446.163055
-0.785714,10,446.318822
1.261905,12,446.495413
1.095238,5,446.566573
1.285714,13,446.77468
1.142857,7,446.891083
1.119048,6,447.039793
-0.809524,9,447.248048
-0.809524,9,447.471702
1.142857,7,447.621102
1.095238,5,447.713994
1.261905,12,447.883399
1.214286,10,448.049424
1.238095,11,448.221373
1.166667,8,448.351652
1.166667,8,448.470866
1.214286,10,449.615762
1.166667,8,449.743849
1.119048,6,449.831542
1.285714,13,450.00634
-0.738095,12,450.168648
-9.809524,9,450.299051
1.166667,8,450.412862
1.190476,9,450.540291
1.333333,15,450.756044
1.190476,9,450.881102
-0.880952,6,450.988571
1.285714,13,451.175897
1.214286,10,451.3227
1.166667,8,451.44067
-0.785714,10,451.602249
-0.785714,10,451.768486
-0.785714,10,451.966197
1.214286,10,452.158066
1.142857,7,452.297718
-9.714286,13,452.474316
1.214286,10,452.611794
1.071429,4,452.677196
-0.857143,7,452.786728
1.166667,8,452.909003
-0.761905,11,453.101606
-0.785714,10,453.306792
1.166667,8,453.435472
1.261905,12,454.803962
1.214286,10,455.023309
-9.738095,12,455.299333
1.095238,5,455.444974
1.214286,10,455.708888
1.261905,12,455.953043
1.190476,9,456.179462
1.261905,12,456.416446
-0.904762,5,456.535043
-0.761905,11,456.710226
1.190476,9,456.843682
1.071429,4,456.924716
1.142857,7,457.070889
-0.833333,8,457.212213
1.238095,11,457.384994
-0.785714,10,457.580748
1.261905,12,457.788074
1.190476,9,457.922835
1.119048,6,458.00948
-0.833333,8,458.149605
-0.761905,11,458.330232
-0.833333,8,458.461093
1.119048,6,458.568337
1.190476,9,458.792021
1.119048,6,458.900269
1.261905,12,459.151331
1.309524,14,459.437227
-9.785714,10,459.632318
1.166667,8,460.927903
1.119048,6,461.05013
-0.761905,11,461.262072
-9.619048,17,461.581941
-0.809524,9,461.795413
1.285714,13,462.152935
1.238095,11,462.467922
-0.880952,6,462.656579
1.119048,6,462.834633
-9.857143,7,463.055363
1.190476,9,463.320714
1.142857,7,463.543854
-0.809524,9,463.789071
1.190476,9,464.022693
1.142857,7,464.264367
1.261905,12,464.598745
1.142857,7,464.777968
1.142857,7,464.925191
-9.761905,11,465.221768
1.214286,10,465.448421
-0.809524,9,465.673509
-9.738095,12,465.907765
-9.785714,10,466.098595
1.261905,12,466.374974
1.214286,10,466.624953
1.214286,10,466.861577
-0.809524,9,467.09812
1.214286,10,468.904278
1.142857,7,469.129875
1.190476,9,469.369431
-0.761905,11,469.633837
1.142857,7,469.808034
1.119048,6,469.9476
1.071429,4,470.099199
1.119048,6,470.252309
-0.833333,8,470.485343
1.238095,11,470.74682
1.071429,4,470.84867
1.238095,11,471.080576
-9.714286,13,471.458086
1.190476,9,471.747541
1.166667,8,471.936346
1.142857,7,472.196458
1.166667,8,472.41413
1.214286,10,472.667762
1.261905,12,472.984701
1.309524,14,473.349129
1.071429,4,473.487718
1.261905,12,473.761449
1.166667,8,473.95231
1.238095,11,474.218444
1.142857,7,474.415419
-0.809524,9,474.716107
1.095238,5,474.857528
-0.904762,5,475.040941
-9.714286,13,475.455735
-0.785714,10,475.703095
1.214286,10,477.57906
1.142857,7,477.780655
1.214286,10,478.12839
1.190476,9,478.380162
-9.714286,13,478.759775
-0.761905,11,479.120102
1.285714,13,479.438499
1.190476,9,479.706563
1.142857,7,479.964002
-0.809524,9,480.254433
1.166667,8,480.47472
1.285714,13,480.83797
-0.809524,9,481.08927
1.071429,4,481.248434
-0.785714,10,481.598623
-9.761905,11,481.889921
-9.714286,13,482.226756
1.333333,15,482.637571
1.357143,16,483.157174
1.309524,14,483.506951
1.190476,9,483.742364
1.119048,6,483.895839
1.285714,13,484.269696
1.142857,7,484.429852
1.166667,8,484.657925
-0.857143,7,484.870018
1.214286,10,486.528401
1.285714,13,486.895601
1.285714,13,487.202356
-0.738095,12,487.501953
1.261905,12,487.820618
1.119048,6,487.959086
-0.833333,8,488.146833
1.190476,9,488.33764
-0.785714,10,488.528131
-0.761905,11,488.726291
1.238095,11,488.912284
1.095238,5,489.016311
1.190476,9,489.184676
1.190476,9,489.401335
-9.738095,12,489.715354
-9.809524,9,489.891359
1.285714,13,490.154953
1.166667,8,490.296964
1.190476,9,490.459707
1.119048,6,490.566402
1.142857,7,490.690766
1.119048,6,490.806591
1.142857,7,490.931311
1.238095,11,491.138611
1.095238,5,491.240632
1.166667,8,491.382875
1.095238,5,491.516927
-9.833333,8,491.65515
-0.738095,12,493.072856
1.142857,7,493.225199
1.071429,4,493.318527
1.142857,7,493.474421
-0.809524,9,493.643771
-0.904762,5,493.758896
-0.857143,7,493.916537
1.119048,6,494.115519
1.214286,10,494.322715
1.214286,10,494.581594
1.071429,4,494.694038
1.238095,11,494.918447
1.238095,11,495.20797
1.095238,5,495.321531
1.309524,14,495.602126
1.071429,4,495.697789
1.214286,10,495.863646
1.190476,9,496.029871
1.214286,10,496.330952
-0.761905,11,496.611145
1.214286,10,496.827356
1.142857,7,496.966929
1.119048,6,497.115189
1.238095,11,497.348036
1.238095,11,497.551045
1.071429,4,497.641835
1.119048,6,497.744215
-0.833333,8,497.876447
1.142857,7,498.017405
1.142857,7,498.157676
-0.833333,8,498.341758
